Date;reservas;CRM_messages;Destination_ads;Display_Segmentado;Festivos;GRP_Competencia;Google_Hotel;Google_PMAX;Google_Search_Brand;Google_Search_Hybrid;Google_Search_No_Brand;Meta_branding;Meta_performance;Metabuscadores;OTA_Travel_ads;Offline_competencia;Offline_propio;Prospecting;Retargeting;Seatback_cabeceros;TikTok;Youtube;ari_metric;gri_index;mpi_metric;nps_index;promocionblackfriday;promociondiscovery_dollars;promociondoublenights;promocionupto10-offseason;promocionupto10-season;promocionupto15-offseason;promocionupto15-season;promocionupto20-season;promocionupto25-season;promocionupto30-season;promocionupto35-offseason;promocionupto40-offseason;rgi_metric;group;relative_ari_metric
2022-01-17;0.0;772345.0;3635.0;920967.0;0.0;100.05;172186.0;0.0;132731.0;22873.0;126425.0;385.0;51324.0;9595.657042381705;28750.321235194137;1181208.5199999998;0.0;8717523.0;569639.0;0.0;0.0;0.0;1.0117108746260504;85.71711222254545;1.0635216887689076;54.98302148302149;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.071167415277311;1;0.0117108746260503
2022-01-24;0.0;518216.0;3331.0;1018874.0;0.0;136.6;202752.0;0.0;140638.0;21438.0;148036.0;432.0;33959.0;11685.832595548847;21605.45449286549;258762.7;0.0;7499625.0;437983.0;0.0;0.0;0.0;1.0262658880210085;85.67541893593182;1.0669085990840337;54.76715176715177;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.089056429747899;1;0.0262658880210084
2022-01-31;0.0;365989.0;4584.0;1909416.0;0.0;485.93;230319.0;0.0;160507.0;23567.0;212958.0;0.0;177388.0;11600.09848709408;33166.94476272753;947842.95;0.0;4381731.0;403852.0;0.0;0.0;0.0;1.0100001991638656;85.63372564931818;1.1175324762857144;54.55128205128206;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.1266400864663866;1;0.0100001991638656
2022-02-07;0.0;598727.0;5943.0;2321374.0;0.0;799.68;280528.0;0.0;180393.0;30743.0;198169.0;0.0;124257.0;8881.457538762674;50473.72883796231;808035.5499999999;0.0;5122316.0;624757.0;0.0;0.0;0.0;1.0078194214327731;85.52372715488636;1.1145639416092437;53.63207286709637;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.1215468619117648;1;0.0078194214327731
2022-02-14;0.0;508532.0;5055.0;2390479.0;0.0;733.01;301293.0;0.0;188578.0;32151.0;216113.0;123389.0;41925.0;6910.358742450948;42263.54622304512;970745.44;0.0;5145294.0;676399.0;0.0;0.0;0.0;1.0164145521260504;85.41372866045455;1.116668383147059;52.71286368291067;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.134741040315126;1;0.0164145521260503
2022-02-21;0.0;415801.0;4323.0;2104901.0;0.0;733.12;306596.0;0.0;184221.0;27398.0;274195.0;270626.0;770157.0;7005.402517092884;132165.10739105835;1263938.38;0.0;4715578.0;608048.0;0.0;0.0;0.0;0.9912509335336134;85.30373016602273;1.1143572659117646;51.793654498724976;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.1080365208277312;1;-0.0087490664663866
2022-02-28;0.0;543760.0;5413.0;1944873.0;0.0;771.92;293004.0;0.0;174551.0;25446.0;204650.0;78912.0;361879.0;8222.213494468364;170867.73751268646;1338643.6;5664.07;2916586.0;488896.0;0.0;0.0;0.0;0.9969753646470588;85.19373167159091;1.1029871307983192;50.87444531453929;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.098984307264706;1;-0.0030246353529411
2022-03-07;0.0;371113.0;4178.0;1907961.0;0.0;641.11;325341.0;0.0;174282.0;28865.0;231516.0;95825.0;412620.0;7583.496779103536;207647.40277559773;698214.63;0.0;2690594.0;725941.0;0.0;0.0;0.0;1.0158638569663865;85.14003427863636;1.1036066747310924;50.66494477307648;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.1192496052521008;1;0.0158638569663864
2022-03-14;0.0;708753.0;3917.0;2021255.0;0.0;845.25;345052.0;0.0;172511.0;28525.0;213479.0;75769.0;382096.0;7985.817817948838;195820.69259694207;943206.53;0.0;1493115.0;417678.0;0.0;0.0;0.0;1.0148191221802574;85.08633688568182;1.106891677424893;50.45544423161367;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.1205925983133047;1;0.0148191221802573
2022-03-21;0.0;281786.0;3970.0;1956410.0;0.0;841.83;358304.0;0.0;179234.0;30982.0;228634.0;78406.0;459682.0;9572.507640962822;169442.56193648276;1278880.88;0.0;1575831.0;436232.0;0.0;0.0;0.0;1.021843913795652;85.03263949272727;1.1186215418913044;50.24594369015086;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.1423621411826088;1;0.021843913795652
