Date;booking-luxury-b2b_reservations_kpi;booking-luxury-b2b_reservations_id;booking-luxury-b2b_trev_net;booking-luxury-b2b_trev_gross;booking-luxury-b2c_reservations_kpi;booking-luxury-b2c_reservations_id;booking-luxury-b2c_trev_net;booking-luxury-b2c_trev_gross;booking-rest-b2b_reservations_kpi;booking-rest-b2b_reservations_id;booking-rest-b2b_trev_net;booking-rest-b2b_trev_gross;booking-rest-b2c_reservations_kpi;booking-rest-b2c_reservations_id;booking-rest-b2c_trev_net;booking-rest-b2c_trev_gross;dir_web-luxury-b2b_reservations_kpi;dir_web-luxury-b2b_reservations_id;dir_web-luxury-b2b_trev_net;dir_web-luxury-b2b_trev_gross;dir_web-luxury-b2c_reservations_kpi;dir_web-luxury-b2c_reservations_id;dir_web-luxury-b2c_trev_net;dir_web-luxury-b2c_trev_gross;dir_web-rest-b2b_reservations_kpi;dir_web-rest-b2b_reservations_id;dir_web-rest-b2b_trev_net;dir_web-rest-b2b_trev_gross;dir_web-rest-b2c_reservations_kpi;dir_web-rest-b2c_reservations_id;dir_web-rest-b2c_trev_net;dir_web-rest-b2c_trev_gross;resto_otas-luxury-b2b_reservations_kpi;resto_otas-luxury-b2b_reservations_id;resto_otas-luxury-b2b_trev_net;resto_otas-luxury-b2b_trev_gross;resto_otas-luxury-b2c_reservations_kpi;resto_otas-luxury-b2c_reservations_id;resto_otas-luxury-b2c_trev_net;resto_otas-luxury-b2c_trev_gross;resto_otas-rest-b2b_reservations_kpi;resto_otas-rest-b2b_reservations_id;resto_otas-rest-b2b_trev_net;resto_otas-rest-b2b_trev_gross;resto_otas-rest-b2c_reservations_kpi;resto_otas-rest-b2c_reservations_id;resto_otas-rest-b2c_trev_net;resto_otas-rest-b2c_trev_gross
2021-11-01;;;;;53.99999999999999;54;31752.909251301;36818.87707752;3.0;3.0;512.581412;592.278643;7942.478571428571;7954;688458.286242182;815027.572150858;;;;;19.0;19;22586.812003203;22586.812003203;161.16666666666666;166;21313.75514;21313.75514;3695.6285714285714;3703;475100.333793948;475145.774161948;3.0;3.0;1882.336598;1995.73282;11.0;11.0;4733.825036;5209.153655;188.2;189;18561.315117088;21355.745282378;1547.3333333333333;1548;143389.088460495;164279.176045314
2021-11-08;;;;;45.0;45;15327.227741997;17706.985774987;3.999999999999999;4.0;896.761267;934.377901;6204.708333333333;6210;534603.070700972;632685.057981112;;;;;13.0;13;8270.345594054;8270.345594054;208.4;216;27963.781516844;27963.781516844;3440.4464285714284;3447;448159.979944249;448307.419011249;;;;;17.0;17.0;8115.652840132;9269.422304547;152.5;153;17887.11118419;20635.744900781;1297.5;1298;120477.337624479;138641.704560477
2021-11-15;;;;;28.0;28;12069.326013927;14286.452747278;3.2666666666666666;5.0;256.633547;256.633547;6203.387914862915;6212;474735.306781806;562138.950835326;;;;;28.0;28;17258.034527239;17258.034527239;149.3;156;19917.992921;19933.880773;3110.224603174603;3117;371056.5983611;371056.5983611;1.4444444444444444;2.0;557.046422;608.7358939999999;10.0;10.0;3286.565525;3941.823563;115.0;115;11748.349034511;13511.032479979;1183.4666666666667;1184;81375.725440448;93827.592112541
2021-11-22;;;;;24.07142857142857;25;3987.881973;4664.808322;1.0;1.0;0.0;0.0;5087.47619047619;5094;405478.240923723;479679.185178131;;;;;14.999999999999996;15;11660.728461;11660.728461;168.26666666666665;173;24906.552556;25724.004479;2670.027777777778;2674;326268.885190139;326287.548738139;0.9999999999999996;1.0;2615.728089;2615.728089;8.0;8.0;1951.328358433;2177.645187853;58.0;58;7308.796399;8441.478101;968.75;969;81745.72442345;93745.590310041
2021-11-29;;;;;18.0;18;9606.302191;10949.328714;3.0;3.0;178.923213;187.78583;3723.2166666666662;3727;322284.693560694;381075.291142006;;;;;6.999999999999998;7;5096.382589;5096.382589;96.83333333333331;99;15178.67108739;15671.59079939;1867.4603174603171;1871;226627.894226962;226663.574287782;;;;;5.0;5.0;2216.068220268;2527.566415268;76.07142857142857;77;11219.039112137;12731.024601137;624.6666666666666;625;60657.590571042;69763.773226181
2021-12-06;;;;;25.0;25;11210.836625904;12954.845192346;24.0;24.0;2232.298512;2503.825256;3620.01645021645;3624;322336.601820939;380234.563011842;;;;;14.999999999999998;15;11148.128589941;11148.128589941;126.84598096245372;134;20776.326026;21514.657962;1885.3166666666664;1889;250408.064864064;250408.064864064;2.0;2.0;1095.572464;1215.662038;10.0;10.0;8738.797223;10117.173742;84.21666666666667;87;13711.994553116;15519.322259116;732.1666666666666;737;72071.381921964;82918.997894726
2021-12-13;;;;;25.0;25;13841.443698459;16208.841859771;2.999999999999999;3.0;255.720993;255.720993;4233.866666666667;4243;362961.218763889;430543.935544988;;;;;12.599999999999998;13;17019.324108101002;17019.324108101002;120.0;123;15356.294596;15737.364874;1878.3333333333333;1880;232587.759072109;232634.01766510904;;;;;3.0;3.0;2396.186013374;2569.026533304;58.5;59;6696.072119405;7774.268990963;765.2051282051282;768;70685.62249574;81091.986414751
2021-12-20;;;;;18.0;18;12131.017326659;14119.858566464;1.0;1.0;135.284;154.999999;2975.036363636364;2978;284330.311563957;336997.018138501;;;;;5.999999999999999;6;5836.869148000001;5836.869148000001;64.0;65;12661.408676;12661.408676;1310.5;1311;189158.267157864;189158.267157864;;;;;;;;;25.5;26;3723.296717;4106.626898;470.3333333333333;471;60073.796843431;67752.731145417
2021-12-27;;;;;24.5;25;10756.018097653;12468.385290795;5.111111111111111;6.0;572.146726;627.6732089999999;3531.5;3534;383799.866693473;455755.900130633;;;;;8.0;8;5262.1626400000005;5262.1626400000005;57.05555555555556;58;7331.424022;7412.265142;1630.4166666666667;1631;269602.548749778;269639.016034778;;;;;6.0;6.0;6309.147328992;6894.819167704;17.0;17;2309.94065;2620.070486;546.3333333333334;547;54721.105623932;62846.552113124
2022-01-03;;;;;22.0;22;10725.898922665;12560.979225567;6.166666666666666;7.0;372.174068;416.442354;4575.047619047619;4579;457342.31181583;542549.297984801;;;;;16.0;16;8430.965524871;8430.965524871;122.5;131;20589.471345;20589.471345;2219.6666666666665;2220;334384.49358978;334399.15608878003;2.0;2.0;308.44036600000004;337.614678;4.0;4.0;1838.268705;2115.723478;61.99999999999997;62;6490.906141538;7575.861771538;658.75;659;66028.848329496;75655.719358355
