Date;reservas;CRM_messages;Competencia;Destination_ads;Display_Segmentado;Festivos;Google_Hotel;Google_PMAX;Google_Search_Brand;Google_Search_Hybrid;Google_Search_No_Brand;Meta_branding;Meta_performance;Metabuscadores;OTA_Travel_ads;Offline_propio;Prospecting;Retargeting;Seatback_cabeceros;TikTok;Youtube;ari_metric;gri_index;mpi_metric;nps_index;promocionblackfriday;promociondiscovery_dollars;promociondoublenights;promocionupto10-offseason;promocionupto10-season;promocionupto15-offseason;promocionupto15-season;promocionupto20-season;promocionupto25-season;promocionupto30-season;promocionupto35-offseason;promocionupto40-offseason;rgi_metric;group;relative_ari_metric
2022-01-17;0.0;319291.0;19668162.838709675;1307.0;192594.0;0.0;4018.529610531791;0.0;54702.0;6594.0;28709.0;0.0;108685.0;7933.861671196855;70238.43042676103;2707.870967741935;694693.0;125459.0;0.0;0.0;0.0;1.004361276083682;79.82772598411539;1.1020042249748954;53.11132561132561;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0762215095313807;1;0.0043612760836819
2022-01-24;0.0;195575.0;19668162.838709675;1129.0;165617.0;0.0;5243.366637153679;0.0;55342.0;8231.0;34421.0;0.0;77784.0;7044.7144861355855;59530.894671434064;2707.870967741935;602653.0;114723.0;0.0;0.0;0.0;1.0238349579369748;79.875264091;1.0656665592563026;54.644465894465895;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0532922615672269;1;0.0238349579369747
2022-01-31;0.0;115143.0;22127993.04838709;2644.0;244740.0;0.0;7353.2282826708015;0.0;60344.0;7855.0;30838.0;0.0;70475.0;5813.711397898798;89140.48524514254;2956.5529953917053;981317.0;119456.0;0.0;0.0;0.0;1.0023077485862069;79.92280219788462;1.137893614487069;56.17760617760618;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.1164064738577586;1;0.0023077485862068
2022-02-07;1.0;254264.0;22537964.75;2395.0;75588.0;0.0;7358.7811235551935;0.0;67833.0;10897.0;50113.0;0.0;19264.0;6349.106221799223;203860.89856062795;2998.0;1006454.0;125331.0;0.0;0.0;0.0;1.0321386383628692;79.9724831621154;1.0139013248227848;55.64958812835027;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0259223240253166;1;0.0321386383628692
2022-02-14;0.0;134789.0;22537964.75;2114.0;186236.0;0.0;6872.450233055854;0.0;75465.0;8835.0;28868.0;1458.0;9277.0;7788.816963231437;238899.07215093376;2998.0;1322934.0;122352.0;0.0;0.0;0.0;1.0309630986239668;80.02216412634615;1.0215203901735537;55.121570079094354;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0273935814917357;1;0.0309630986239668
2022-02-21;0.0;184014.0;22537964.75;1725.0;305621.0;0.0;7224.426266986413;0.0;73656.0;8510.0;32537.0;4589.0;320262.0;7823.96957601237;178599.47762979963;2998.0;1138117.0;92187.0;0.0;0.0;0.0;1.0214713414979253;80.07184509057693;1.0647170482780084;54.59355202983844;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0699873828589213;1;0.0214713414979252
2022-02-28;0.0;227037.0;26315487.95967742;2251.0;247169.0;0.0;7497.076788675699;0.0;74373.0;11874.0;45060.0;1124.0;120068.0;10724.93873103656;161475.13630753988;4336.414746543778;1602526.0;91690.0;0.0;0.0;0.0;1.034042174886179;80.1215260548077;1.0336304144268291;54.06553398058252;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.052282179394309;1;0.034042174886179
2022-03-07;0.0;167502.0;26945075.161290325;1498.0;261948.0;0.0;10892.541075262272;0.0;77170.0;8299.0;28054.0;791.0;115817.0;12552.771029317688;174021.38865457138;4559.4838709677415;1885037.0;97390.0;0.0;0.0;0.0;1.0525334379317268;80.13031120778847;0.98510253186747;53.96331522754621;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.017855913008032;1;0.0525334379317268
2022-03-14;0.0;287999.0;26945075.161290325;1497.0;222291.0;0.0;9123.99081874624;0.0;79848.0;10087.0;37881.0;523.0;103232.0;12251.239528408634;173198.25780954136;4559.4838709677415;1544969.0;90997.0;0.0;0.0;0.0;1.0384780648658538;80.13909636076923;0.9800005549308944;53.86109647450989;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0020705609674798;1;0.0384780648658538
2022-03-21;1.0;129535.0;26945075.161290325;1523.0;197415.0;0.0;8570.110962365065;0.0;81594.0;9657.0;32999.0;296.0;94503.0;11719.185840819857;140080.72481910794;4559.4838709677415;1583043.0;82950.0;0.0;0.0;0.0;1.0711016716032389;80.14788151375001;0.9182512943441296;53.75887772147358;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.9664613420080972;1;0.0711016716032388
